osm_type,osm_id,name,lat,lon,parking,access,fee
way,1250113443,,33.362779,126.260563,,,
way,1250114647,,33.334900,126.248163,,,
way,1263639314,,33.474813,126.826600,,,
way,1264388615,,33.311904,126.301998,,,
way,1264392941,,33.310868,126.341528,,,
way,1264394181,,33.303995,126.298656,,,
way,1287333038,,33.308838,126.349240,surface,customers,no
way,1287333041,,33.309353,126.349338,surface,,
way,1292244123,,33.324210,126.842600,,,
way,1295515474,,33.440766,126.630501,,,
way,1295636039,,33.399204,126.389215,,,
way,1295636055,,33.377546,126.392288,,,
way,1296213490,,33.238947,126.318658,,,
way,1296213494,,33.239944,126.335163,,,
way,1296221095,,33.240367,126.319554,,,
way,1296241312,,33.252827,126.368344,,,
way,1296241316,,33.240724,126.332389,,,
way,1296241317,,33.240921,126.332269,,,
way,1296261547,,33.439759,126.667558,,,
way,1296271737,,33.542781,126.676413,,,
way,1296279859,,33.469335,126.777057,,,
way,1298948884,,33.204874,126.277307,,,
way,1299941854,,33.291637,126.527886,,,
way,1299951906,,33.330787,126.673803,,,
way,1299955829,,33.294840,126.675994,,,
way,1300152134,,33.309404,126.633738,,,
way,1300398774,,33.292116,126.557834,,,
way,1305853628,,33.251684,126.560462,surface,,yes
way,1305853629,,33.251530,126.559247,surface,,
way,1305869662,,33.255736,126.571696,,,
way,1308094802,,33.242881,126.566574,,,
way,1308416886,,33.503408,126.490259,,,
way,1308416887,,33.503248,126.488575,,,
way,1340418419,,33.492906,126.545460,,,
way,1342290982,,33.494237,126.533680,,,
way,1342290988,,33.493542,126.542436,,,
way,1348642478,,33.499851,126.531249,,,
way,1350942426,,33.432798,126.915205,,,
way,1350942431,,33.439844,126.919971,,,
way,1350942432,,33.440210,126.920320,,,
way,1351119689,,33.519223,126.558711,,,
way,1351119832,,33.511700,126.541770,,,
way,1387773903,,33.398302,126.899338,,,
way,1387773904,,33.398237,126.899197,,,
way,1412224656,,33.511774,126.544109,,,
way,1412224794,,33.511628,126.539822,,,
way,1412224795,,33.511308,126.539935,,,
way,1412231418,,33.499436,126.533535,,customers,
way,1412231419,,33.499769,126.533065,,customers,
way,1412231420,,33.499826,126.532777,,customers,
way,1412720081,,33.458450,126.485544,on_kerb,private,no
way,1412985446,,33.501331,126.530978,,,
way,1412985458,,33.498586,126.534021,,,
way,1412985459,,33.498174,126.533842,,,
way,1412985503,,33.497742,126.536239,,,
way,1412985513,,33.498514,126.536576,surface,,
way,1412985514,,33.497933,126.536954,surface,,
way,1412985516,,33.498964,126.536472,,,
way,1425767953,,33.263249,126.564305,,,
way,1437044340,,33.206052,126.272642,,,
way,1448217686,아라일동 6123,33.473827,126.551662,surface,,
way,1448242309,제주시청_민원실,33.499989,126.530252,,,
way,1457357761,,33.511624,126.500645,,,
way,1460392890,,33.353332,126.357751,,,
way,1460392891,,33.353551,126.359302,,,
way,1460392914,,33.360582,126.363155,,,
way,1460392915,,33.361221,126.362252,,,
way,1460392916,,33.360006,126.361059,,,
way,1462964711,,33.397085,126.899511,,,
way,1462964749,,33.401250,126.900946,,,
way,1463066915,,33.398863,126.904871,,,
way,1463066916,,33.398897,126.905012,,,
way,1463080147,,33.403494,126.901500,,,
way,1463080178,,33.404153,126.902473,,private,
way,1463080180,,33.403697,126.902526,,,
way,1463100968,,33.405039,126.903691,,,
way,1463101001,,33.407682,126.900228,,,
way,1463149016,,33.411541,126.902207,,,
way,1463149031,,33.412592,126.907736,,,
way,1463149036,,33.414454,126.906411,,,
way,1463149066,,33.410675,126.901429,,,
way,1463238650,,33.414232,126.900058,,,
way,1463240961,,33.413143,126.908505,,,
way,1463240962,,33.413032,126.908610,,,
way,1463240963,,33.413144,126.909201,,,
way,1463240964,,33.413346,126.909024,,,
way,1463525750,,33.403979,126.901634,,,
way,1480987990,,33.299439,126.600813,,,
way,1480988016,,33.316218,126.596549,,,
way,1480988023,,33.317441,126.610621,,,
way,1484621270,,33.403613,126.813224,,,
way,1484632747,,33.409949,126.825798,,,
way,1484632748,,33.409427,126.825394,,,
way,1484632753,,33.414757,126.836062,,,
way,1484690196,,33.416524,126.840333,,,
way,1486303470,,33.476473,126.498597,,,
way,1486303472,,33.476597,126.498834,,,
way,1486303474,,33.476964,126.499387,,,
way,1486303485,,33.477834,126.496675,,,
way,1486303494,,33.477310,126.495340,,,
way,1486303504,,33.478375,126.496002,,,
way,1486303510,,33.478496,126.494744,,,
way,1486303511,,33.478654,126.494592,,,
way,1486303512,,33.478664,126.494426,,,
way,1486303514,,33.478759,126.494656,,,
way,1486303515,,33.478609,126.494853,,,
way,1486303516,,33.478664,126.495033,,,
way,1486303517,,33.478318,126.495005,,,
way,1486303518,,33.478246,126.494340,,,
way,1486303520,,33.478200,126.494605,,,
way,1486303521,,33.478277,126.494599,,,
way,1486303522,,33.478136,126.494203,,,
way,1486303534,,33.476783,126.496531,,,
way,1488735382,,33.486904,126.479130,,,
way,1488735395,,33.486900,126.479632,,,
way,1488735404,,33.487323,126.480918,,,
way,1488735405,,33.486800,126.480216,,,
way,1488761247,,33.487634,126.481429,,,
way,1488761252,,33.488458,126.482955,,,
way,1488761269,,33.487276,126.482330,,,
way,1488761279,,33.486665,126.483388,street_side,,
way,1489618243,,33.501977,126.453091,,,
way,1489645998,,33.488866,126.525898,,,
way,1490429350,,33.479145,126.481808,,,
way,1490871403,,33.481547,126.486850,,,
way,1490892249,,33.481281,126.485777,,,
